date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:50:08	45140/45140	---M-Z	200	added ('OK')	font/ttf	date:Sat,%2011%20Mar%202017%2010:48:03%20GMT	https://devitems.com/html/financo-preview/financo/fonts/montserrat-semibold-webfont.ttf	E:/office/accounts/devitems.com/html/financo-preview/financo/fonts/montserrat-semibold-webfont.ttf	(from https://devitems.com/html/financo-preview/financo/css/shortcode/default.css)
16:50:08	24928/24928	---M-Z	200	added ('OK')	x-font/woff	date:Sat,%2011%20Mar%202017%2010:48:04%20GMT	https://devitems.com/html/financo-preview/financo/fonts/montserrat-semibold-webfont.woff	E:/office/accounts/devitems.com/html/financo-preview/financo/fonts/montserrat-semibold-webfont.woff	(from https://devitems.com/html/financo-preview/financo/css/shortcode/default.css)
16:50:08	70322/70322	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2011%20Mar%202017%2010:48:03%20GMT	https://devitems.com/html/financo-preview/financo/fonts/montserrat-semibold-webfont.svg	E:/office/accounts/devitems.com/html/financo-preview/financo/fonts/montserrat-semibold-webfont.svg	(from https://devitems.com/html/financo-preview/financo/css/shortcode/default.css)
16:50:10	1716/1716	---M--	200	added ('OK')	image/png	date:Sat,%2011%20Mar%202017%2010:49:57%20GMT	https://devitems.com/html/financo-preview/financo/img/icons/scroll.png	E:/office/accounts/devitems.com/html/financo-preview/financo/img/icons/scroll.png	(from https://devitems.com/html/financo-preview/financo/css/shortcode/default.css)
16:50:11	1740/1740	---M--	200	added ('OK')	image/png	date:Sat,%2011%20Mar%202017%2010:49:56%20GMT	https://devitems.com/html/financo-preview/financo/img/icons/scroll-hover.png	E:/office/accounts/devitems.com/html/financo-preview/financo/img/icons/scroll-hover.png	(from https://devitems.com/html/financo-preview/financo/css/shortcode/default.css)
16:50:15	70540/70540	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Mar%202017%2010:48:56%20GMT	https://devitems.com/html/financo-preview/financo/img/bg/1.jpg	E:/office/accounts/devitems.com/html/financo-preview/financo/img/bg/1.jpg	(from https://devitems.com/html/financo-preview/financo/css/shortcode/default.css)
16:50:16	118031/118031	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Mar%202017%2010:48:59%20GMT	https://devitems.com/html/financo-preview/financo/img/bg/2.jpg	E:/office/accounts/devitems.com/html/financo-preview/financo/img/bg/2.jpg	(from https://devitems.com/html/financo-preview/financo/css/shortcode/default.css)
16:50:20	94003/94003	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Mar%202017%2010:48:58%20GMT	https://devitems.com/html/financo-preview/financo/img/bg/3.jpg	E:/office/accounts/devitems.com/html/financo-preview/financo/img/bg/3.jpg	(from https://devitems.com/html/financo-preview/financo/css/shortcode/default.css)
16:50:34	105599/105599	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Mar%202017%2010:49:03%20GMT	https://devitems.com/html/financo-preview/financo/img/bg/7.jpg	E:/office/accounts/devitems.com/html/financo-preview/financo/img/bg/7.jpg	(from https://devitems.com/html/financo-preview/financo/css/shortcode/default.css)
16:50:40	64435/64435	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Mar%202017%2010:49:02%20GMT	https://devitems.com/html/financo-preview/financo/img/bg/6.jpg	E:/office/accounts/devitems.com/html/financo-preview/financo/img/bg/6.jpg	(from https://devitems.com/html/financo-preview/financo/css/shortcode/default.css)
16:50:42	33729/33729	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Mar%202017%2010:48:52%20GMT	https://devitems.com/html/financo-preview/financo/img/banner/8.jpg	E:/office/accounts/devitems.com/html/financo-preview/financo/img/banner/8.jpg	(from https://devitems.com/html/financo-preview/financo/css/shortcode/default.css)
16:50:50	38384/38384	---M-Z	200	added ('OK')	font/woff2	date:Sat,%2011%20Mar%202017%2010:47:46%20GMT	https://devitems.com/html/financo-preview/financo/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0	E:/office/accounts/devitems.com/html/financo-preview/financo/fonts/Material-Design-Iconic-Fontd1f1.woff2	(from https://devitems.com/html/financo-preview/financo/css/material-design-iconic-font.css)
16:50:53	50312/50312	---M-Z	200	added ('OK')	x-font/woff	date:Sat,%2011%20Mar%202017%2010:47:46%20GMT	https://devitems.com/html/financo-preview/financo/fonts/Material-Design-Iconic-Font.woff?v=2.2.0	E:/office/accounts/devitems.com/html/financo-preview/financo/fonts/Material-Design-Iconic-Fontd1f1.woff	(from https://devitems.com/html/financo-preview/financo/css/material-design-iconic-font.css)
16:51:14	99212/99212	---MCZ	200	added ('OK')	font/ttf	date:Sat,%2011%20Mar%202017%2010:47:44%20GMT	https://devitems.com/html/financo-preview/financo/fonts/Material-Design-Iconic-Font.ttf?v=2.2.0	E:/office/accounts/devitems.com/html/financo-preview/financo/fonts/Material-Design-Iconic-Fontd1f1.ttf	(from https://devitems.com/html/financo-preview/financo/css/material-design-iconic-font.css)
16:55:00	87840/87840	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Mar%202017%2010:49:01%20GMT	https://devitems.com/html/financo-preview/financo/img/bg/5.jpg	E:/office/accounts/devitems.com/html/financo-preview/financo/img/bg/5.jpg	(from https://devitems.com/html/financo-preview/financo/css/shortcode/default.css)
